title,body,ticket_type,category,sub_category1,sub_category2,business_service,urgency,impact
additional ram,additional dear requires additional please assist thank,1,5,13,7,32,3,4
link opportunity to contract,link opportunity contract hi far understand logged call done call log please name please link costs opportunity va cost recovery contract related understand linking result opportunity status change completed won opportunity thank officer,1,4,3,7,10,3,4
account creation,creation hello member marketplace want ask please create thank,1,4,2,7,19,3,4
oracle task bug,task hi tasks task appears times after fulfill task disappears least highlighted sometime even possible therefore difficult understand task done done example appears same thank senior,1,4,3,88,68,3,4
cooling pad,cooling pad hi guys please provide cooling pad thank kind regards specialist,1,5,13,7,32,3,4
set up on,help work thanks,1,5,3,7,63,3,4
add the ms service ops management,please include please include let require other side leader,1,4,2,7,4,3,4
service request com,hi enable members also guidance how thanks,1,4,1,7,36,3,4
request,good morning please help amending please add create review requests thanks commercial adviser old broad street,1,4,2,21,36,3,4
unlock domain account for,unlock hi please unlock assist somehow he his thanks head,1,4,2,21,4,3,4
access to sonar,sonar hello please sonar instance located sp sonar sessions thank,1,4,1,7,88,3,4
quarantine retrieve,how retrieve tried work november image removed by dear image removed by urgent massage pm kb deleted automatically after days change frequency these within log,1,4,2,88,89,3,4
non starter ad,re hello se november pm re attached discipline lead tuesday november pm hi please fill thank kind regards,1,4,2,87,4,3,4
enabling meeting broadcast,enabling meeting broadcast hello please enable meeting broadcast feature broadcast different events thank much kind regards communication,1,4,3,7,87,3,4
warning maximum size exceeded,warning maximum size exceeded hi please increase size again alternatively guidelines how clean without having lose useful every couple weeks quite disturbing delete repetitive generic large ones etc regards november pm warning maximum size exceeded exceeded maximum size limit corporate presentation please administrator require further assistance,1,4,2,21,36,3,4
wants to access documents account needed,wants working accept decline requests,1,4,3,7,10,3,4
,si male female si adapter mini male female tech flow communication,1,5,13,7,32,3,4
project moving into,moving hello inform moving moving assets today tomorrow morning according information allocated floor area meeting rooms colleagues re allocated starting tomorrow possibly moving beginning therefore good pre plan seats well thank much best regards,1,5,13,7,32,3,4
need a connection at,hello cable working thanks developer,1,5,13,7,32,3,4
network cable,cable hi please help cable thank head,1,5,13,7,32,3,4
visual studio professional remove license,visual studio professional license hello please license visual studio professional anymore thank engineer,1,5,15,7,32,3,4
visual studio professional requires license,visual studio professional requires license hi help please license vs professional thought activated once creating after months says license has expired regards tester,1,5,15,7,32,3,4
password reset,hello please help his his details name attached also him where he says he cannot perform his own he cheers senior test consultant,1,4,2,76,4,3,4
inventory needed laptop monitor,re inventory needed monitor dear provide specs intel core tm please let satisfy requirements please log assign queue thank engineer ext inventory needed monitor hello guys additional monitor keyboard mouse plus satisfy requirements additional information please let thank much kind regards,1,5,13,7,32,3,4
reset password,hello please assist resetting confluence thank kind regards analyst,1,4,2,76,4,3,4
new monitor needed,monitor needed good morning please help monitor member consultant he travels weeks row monitor help lot ease his work monitor adjustable cable possible monitor similar location floor table area additional information needed please let thank regards lead,1,5,13,7,32,3,4
your mailbox is almost full,mailbox almost hi guys per mailbox extended please help thanks friday november pm mailbox almost importance high mailbox almost mb mb size maximum size please reduce mailbox size delete items mailbox empty deleted items folder,1,4,2,21,36,3,4
week,dear please provide each casa meeting rooms stream presentations across offices regards senior software developer,1,5,13,7,32,3,4
create a snapshot of,create snapshot hi help create snapshot please order fix issue please assign please thank senior engineer,1,6,22,21,41,3,4
consolidate the snapshot of,consolidate snapshot hi consolidate snapshot prod instance please assign please thank senior engineer,1,6,22,21,41,3,4
rejected time card for leaver,please action submit cards dear again person left please help thanks date november please action submit cards dear receiving because cards haven submitted please note enough enter also make submit take corrective actions submitted card gets rejected breakdown submitted cards please submit accordingly possible country submitted cards card status rejected total submitted cards submitted cards statuses explained error usually happens log calendar view period than days then delete which causes timecard switch error fix add back deleted delete entire timecard right hand side menu recreate again rejected card rejected by approvers please card entries accordingly resubmit entered status timecard few days entire timecard entered saved cards status has passed entered validation gone next submission step card issues resolve please wait corresponding resolutions,1,4,2,21,66,3,4
ad account to be enabled,ad dear please enable ad want puma he has made seems inconsistences contradiction view about action please let her please rest provide directly best regards lead ext,1,4,2,21,4,3,4
remove temporary visual studio licence,re visual studio licence hi please license visual studio professional visual studio community automation training tester,1,5,15,87,32,3,4
monitor during staying next week,monitor during staying next hi tower next starting until friday november located second level building area possible provide second monitor during period thank shared senior accountant ext,1,5,13,7,32,3,4
access,hi please elevate rights he add repository piece code thanks kind regards leader friday november re hi checked create repositories maybe guys repository work more rights best regards engineer friday november re thanks leader thursday november pm hello has please further assistance please let kind regards analyst ext history reference history additional comments visible update task task assignment assignee owner closed complete work notes description hi guys please create he safely store code he has working appreciate speedy help rather urgent involves client thanks kind regards leader more ref msg,1,4,2,7,19,3,4
access to conf,resources hi part colleague accounts her resources confluence true thanks,1,4,1,7,27,3,4
password reset,hi got expired please help resetting also steps how own thanks regards senior solution engineering engineering center images information transmitted content communication confidential intended intended recipient affiliates subsidiaries intended recipient hereby notified information contained transmitted communication dissemination copying communication strictly prohibited received communication error please notify immediately by replying delete,1,4,2,76,4,3,4
password reset,re updated expire days hello helped thank kindest,1,4,2,7,4,3,4
list,hi please add please thanks client,1,4,1,7,36,3,4
ops schedule task,schedule task hi please tasks summary backups failures triggers daily example task backups failures triggers daily example task tapes loaded triggers daily example task thank engineer,1,4,3,87,56,3,4
report poll suspended but up check,hello please advised poll suspended without reason main dash please advised course action sd take kind regards,1,4,22,88,59,3,4
cables,re please thank november importance high hi guys va la loc si best regards engineer ext,1,5,13,7,32,3,4
oracle vacation option and expenses,vacation option hi guys help tried replacement next vacation reports approvals him replacement recommendation grade function unfortunately firstly working evening secondly tried other days find his name repository please help setting him replacement manually want while gone thanks head,1,4,2,21,66,3,4
,hello please advised error currently amend please take thanks,1,4,2,21,67,3,4
add belgrade to list,add hi ask add public please addresses needed thanks,1,6,1,7,95,3,4
increase ram on,increase hi please add more cpu works slow thanks,1,6,22,7,41,3,4
overtime,overtime dear sir madam please note working overtime offices tomorrow kindly rights cards best analyst,1,4,1,21,73,3,4
card leaver,card leaver card la firma weekend,1,4,2,21,73,3,4
change approver,change approver hello mind checking updating flow please replace pm code approved pending hello help please let change has performed thank kindly best regards compliance ext,1,4,2,21,66,3,4
for am teams,teams hi please provide report positive feedbacks teams columns recipient name text please log best regards engineer,1,4,2,88,63,3,4
table names from service now,table hi please provide table entities teams users status please log best regards engineer,1,4,3,88,63,3,4
access to environment implementation project,environment hi please port author azure port azure slave nodes slave slave slave required thanks best regards,1,6,22,7,95,3,4
new starter,starter november dear two updates requests help more starter attaching form starting date scheduled update per discussion him leaver form starter form his contractor hiring thanks best regards november pm more starter november importance high dear colleagues help creating more his starting date scheduled november form attached best regards saturday october november importance high dear colleagues november again updated starting date st november st november st november november by moment expect more hire potential starting date further update starter forms attached kind regards wednesday october pm october update dear colleagues needed make change supposed october him moved starting date st november also more starter october starter form attached best regards wednesday pm october dear colleagues starter forms supposed october more starter developer starting date him needs confirmed starter forms attached kind regards,1,4,2,94,40,3,4
environment update routing to direct to the correct link site,re updated environment update routing link site hi call reopened please done within suggestion route next hop required copied onto thanks number,1,6,22,21,95,3,4
forwarding for,re disable hi appears problem leaver form appearing therefore interim please ask redirect his kind regards mobility officer,1,4,2,21,36,3,4
obi new report,obi report hello report within obi logic allow recruiters track own candidates also motivate update information more often right doing same thing difficult requisitions assigned actual candidates which processing assigned requisitions own contain recruiter filter candidates according his own name means report show candidates according made recent change step status make easier achieve result by modifying existing active candidates dashboard needs filter organizations requested active candidates report filter recruiter name difference recruiter name has determined based changed candidate step status column shows candidate grade these changes impact report purpose save effort creating report thanks find out more about experience,1,4,3,7,67,3,4
servers access via open,via hello via please thank engineer,1,4,1,105,65,3,4
modify fusion access,modify hello additional reports example report also ideally copy modify version report approvals please asap thanks help,1,4,1,7,68,3,4
laptop allocation retrieve,allocation retrieve hello please two tickets allocation old retrieve best regards technician november re care friday november pm re slot ca slot ii dam si sd technician friday november pm re la la rat friday november pm re upgrade la si kind regards technician thursday november pm re upgrade la technician thursday november pm re pot la thursday november pm re technician thursday november pm re thursday november pm re growth care si cutie best regards technician thursday november pm ave la lead,1,5,13,7,32,3,4
increase mailbox size,fwd mailbox almost hello add more storage thank begin forwarded date november mailbox almost mailbox almost mb mb size maximum size please reduce mailbox size delete items mailbox empty deleted items folder,1,4,2,7,36,3,4
all staff,hello please add testing part assignment according thank test lead,1,4,1,7,4,3,4
new purchase po,purchase po dear purchased received items by lite updated include device under user name link please add allocation device thanks after receive item please take consideration mandatory receipts section order receive item ordered how video link please make return old device back accessories left receive receive old device take off user name kind regards administrator,1,5,13,7,32,3,4
new laptop for smith,re dear please log thank kind regards engineer november hello kindly advise allocate looking forward hearing thank kind regards administrator friday november pm hi guys board needs he currently uses old please order model him allocate available prepare leave he next he thanks,1,5,13,7,32,3,4
oracle issue,issue hi please assign best regards analyst friday november issue hello add award compensations starting july st allow accessing plan thank lead,1,4,1,7,67,3,4
backup for related to,backup related hello please controller backup thank engineer,1,6,22,7,11,3,4
new purchase po,purchase po dear purchased received items updated include device under user name link updated include device under user name link please add allocation device thanks after receive item please take consideration mandatory receipts section order receive item ordered how video link kind regards administrator,1,5,13,7,32,3,4
device recovery report reset tray th floor,device recovery report tray printer details tray copier details tray scanner ready details model name device name comment floor host name name print name file name printer name zone name name computer name share name device good notified,1,5,13,60,74,3,4
compensation reviewer oracle corrections,compensation reviewer corrections dear please add colombia profile compensation reviewer members currently compensation reviewer thanks head public holiday,1,4,3,7,66,3,4
device recovery report st floor printer paper at internal path,device recovery report st floor printer path printer off details copier ready details scanner ready details model name device name st floor comment host name name print name file name printer name zone name name computer name share name device st floor printer st floor printer notified,1,5,13,60,74,3,4
activation of oracle fusion expenses,activation hi please help details mobile app thanks mob zone,1,4,3,7,66,3,4
sept and account roll offs,sept roll offs hi please help table highlighted groups ones highlighted thank officer november re sept roll offs hi please find comments october roll offs groups enumerated ct comments column touch help program code name id role left left ct comments nap tester nap functional test nap related app testing write nap senior tester nap nap nap senior test nap write nap nap wave senior tester senior developer groups tester write developer groups tester groups senior tester groups developer developer groups client engagement write senior tester groups groups developer groups senior tester groups developer groups nap tester groups kind regards wednesday november pm re sept roll offs thanks supposed add colleague kind regards november re sept roll offs hi please find leavers months october assume named copied well copied colleague she help please let needed program code name id role left left nap tester nap senior tester nap senior test senior tester senior developer tester developer tester senior tester developer developer client engagement senior tester developer senior tester developer nap tester thank officer november sept roll offs hi rolled off accounts october memberships related ad groups has removed future months ask immediately preceding course too guess leavers tech approach kind regards information compliance officer extension,1,4,1,87,4,3,4
device alert notification st floor printer paper at duplex unit,device st floor printer duplex unit printer details output duplex unit detected tray tray copier details output duplex unit detected tray tray scanner ready details model name device name st floor comment host name name print name file name printer name zone name name computer name share name device st floor printer st floor printer notified,1,5,13,60,74,3,4
device alert notification st floor printer paper at internal path,device st floor printer path printer details output duplex unit tray copier details output duplex unit tray scanner ready details model name device name st floor comment host name name print name file name printer name zone name name computer name share name device st floor printer st floor printer notified,1,5,13,60,74,3,4
video conference with recording capabilities,video recording capabilities hello question help video except more important recording capability organize knowledge transfer sessions third party record these session future regards,1,4,3,88,63,3,4
access to pas,dear please assign based bellow thank friday november pm re hello help bellow thank friday november pm re guess closed by also submitted onto gets his want ask assigned thanks tuesday november pm re hi please approve granting write thank best regards engineer tuesday november pm has assigned hello please advised record number has assigned please review details take appropriate action reference number details requested location perform centre summary additional comments requirements requested hi please provide related code newly requested thanks help assign reference assignment summary location perform centre please link kind regards please ref msg,1,4,3,7,66,3,4
software license installation and license key for,software name,1,5,15,7,32,3,4
mobile phone allocation,document purchase order requisition implemented hello please log thank engineer friday november re document purchase order requisition implemented kind regards administrator friday november re document purchase order requisition implemented ii galaxy cum tine allocate si cum engineer friday november re document purchase order requisition implemented update care ca la ne liber si la contingency update la kind regards administrator friday november re document purchase order requisition implemented importance high ob la ne la per se la alt dup cum si rapid ii date re document purchase order requisition implemented contract kind regards administrator thursday november pm re document purchase order requisition implemented si alt la care facility blvd rd floor thursday november pm re document purchase order requisition implemented nostrum si update kind regards administrator thursday november pm document purchase order requisition implemented status inca mea facility blvd rd floor thursday november pm document purchase order requisition implemented task application document purchase order requisition implemented output text details assignee assigned date pm expiration date pm task number sold entity order buyer ordered nonrecoverable tax justification order details supplier supplier site location supplier order description note supplier requisitioning requisition requester cost center attachments po,1,5,13,7,32,3,4
create a file with the mapping among new pas,please hi please rise assign summary create file mapping among accounts kind regards engineer,1,4,3,7,70,3,4
project manager,hi possibility multiple officer friday november hi ability review approve reject submitted code add against code please tried myself unsuccessfully thanks lead client description description description image,1,4,3,88,66,3,4
laptop bag request,bag hi requested bag he has given thanks regards,1,5,13,7,32,3,4
new purchase po replenish,purchase po dear purchased caddy digital cable please log allocation kind regards administrator,1,5,13,7,32,3,4
progress,progress hi please log assign thank administrator friday november hi please assist closing implemented change cannot close kind regards technical consultant ext zone,1,4,3,105,56,3,4
vs pro,vs pro vs pro senior tester thursday november vs pro vs pro care vs pro si la ca va ii la face la sis sip la loc vs pro se vs code community edition care free va si update care fie ca fie ca va update maine la head testing,1,5,15,87,32,3,4
new purchase po,purchase po dear purchased pc sd please log allocation after receive item please take consideration mandatory receipts section order receive item ordered how video link thank kind regards administrator,1,5,13,7,32,3,4
change delivery responsible for and for va,appointed responsible opportunity va upgrade hi please change responsible both va thanks officer thursday november appointed responsible opportunity va upgrade hi how responsible opportunity va upgrade please help moving thanks lot best regards wrote hello appointed responsible va upgrade order view opportunity add forecast please link opportunity id ca wish view opportunities which responsible opportunity cd thank,1,4,2,21,10,3,4
,hi please help thanks,1,5,22,7,52,3,4
read only access to net domain controllers and,friday november pm hello please also controllers run offices too please thanks infrastructure architect,1,6,1,7,41,3,4
increase the threshold to,re poll status down has assigned hello checked machine free available partition please increase threshold thank engineer ext,1,6,15,21,95,3,4
read only account for the management domain domain administrator rights,hello please also controllers run offices too please thanks infrastructure architect,1,6,2,7,41,3,4
computer monitors for java interns,computer monitors interns hello computer monitors interns moved tower interns mentioned please help kind regards va analyst,1,5,13,7,32,3,4
new purchase po,purchase po dear purchased has please log allocation after receive item please take consideration mandatory receipts section order receive item ordered how video link kind regards administrator,1,5,13,7,32,3,4
domain admin credentials for net,credentials hi currently working please arrange asap thanks kind regards senior infrastructure engineer infrastructure mob,1,4,1,7,4,3,4
update its sn,update sn hi please advised by thank november re update sn hi think has answered yet please assign task needed thank october update sn hi guys think considering updating coming out tool instead attached sample user friendly terms format further customized tool restrictions thank,1,4,3,21,56,3,4
security access saturday th,saturday hello please assign thank engineer ext november saturday importance high hi please add tomorrow saturday november thank director,1,4,1,7,73,3,4
visual studio,visual studio hi client update switch visual studio visual studio covered by license thanks design lead ext,1,5,15,7,32,3,4
remove out of com,out hello colleague holiday by mistake she has mailbox out please help out thank great accounts payable,1,4,2,105,36,3,4
,ti black friday hello please kind since keep receiving frequent basis thanks friday november ti black friday footer header footer footer footer footer mobile footer footer software footer footer footer footer footer footer footer footer footer twitter footer footer footer footer footer did update subscription preferences genetics sector,1,4,3,7,89,3,4
access to assets,assets hi please provide wallet destinations os thanks,1,4,1,7,52,3,4
access for me and,re hi please action myself dom thanks november hi please arrange rights vault upgrade regards infrastructure consultant,1,6,1,7,95,3,4
file transfer,hi file explore option file option,1,4,3,87,46,3,4
and,re member option wireless wired requested wired senior thursday november pm re member hello please advise updates matter please also also part order find best option avoid conflicts thank regards tuesday november member hi please add also he needs his badge secure thank senior,1,4,1,21,26,3,4
update,update hi please add regards head,1,4,3,7,36,3,4
renew peripherals keyboard mouse headset,purchase tickets hello performance tests mouse si ca la merci tester,1,5,13,7,32,3,4
new starter pop center,starter form hi please fill date thank regards id image cd,1,4,2,7,96,3,4
new starter tower,starter facilities discipline dear please informed candidate accepted job offer become facilities discipline november please create her credentials per attached form kind regards specialist,1,4,2,94,40,3,4
leaver form for leave date november location center,leaver form leave date november location center hello leaver form has filled by name leaving date november location center ad forwarder leaver mailbox did leaver roaming profile did leaver ad rights personal mailbox approver did leaver rights inventory storage required information name work location details floor seat did leaver did leaver token did leaver mobile phone subscription did leaver other social activated by commercial accounts leaver has detected changed automatic by approver backup pm purchase coordinator approver approver approver approver discipline responsible other did leaver did leaver did leaver did leaver did leaver number did leaver extension leaving details unplanned comments needed tickets automatically logged best regards note mailbox receive messages,1,4,2,51,32,3,4
leaver form for leave date november location center,leaver form leave date november location center hello leaver form has filled by name leaving date november location center ad forwarder leaver mailbox did leaver roaming profile did leaver ad rights personal mailbox approver did leaver rights inventory storage required information name work location details floor seat did leaver did leaver token did leaver mobile phone subscription did leaver other commercial accounts leaver has detected changed automatic by approver backup pm purchase coordinator approver approver approver approver discipline responsible other did leaver did leaver did leaver did leaver did leaver number did leaver extension leaving details planned comments needed tickets automatically logged best regards note mailbox receive messages,1,4,2,51,32,3,4
into support create assignment,hi guys please log create detailed attached document also stored please also add problem assign problem queue please log create assignment called include thanks kind regards leader thursday november pm re hi please find attached updated version document ask touch base going creation about around problem queue thanks november dear please informed started solution has developed by having pm provided by shared going instance recording incidents change problem requests queue sn has created addition queue please find attached document describes raised question regarding callers log sd location callers callers once receive please let additional share regarding transition regards,1,4,2,7,56,3,4
new purchase po,purchase po dear purchased has please log allocation after receive item please take consideration mandatory receipts section order receive item ordered how video link thank kind regards administrator,1,5,13,7,32,3,4
for accounts for,hello dear please assist creation devices located meeting rooms accounts created meeting rooms please let more side thank kind regards infrastructure ext phone,1,4,2,7,87,3,4
leaver form for leave date november location,leaver form leave date november location hello leaver form has filled by name leaving date november location ad forwarder leaver mailbox did leaver roaming profile did leaver ad rights personal mailbox approver did leaver rights inventory storage required information name work location details floor seat did leaver did leaver token did leaver mobile phone subscription did leaver other commercial accounts leaver has detected changed automatic by approver backup pm purchase coordinator approver approver approver approver discipline responsible other did leaver did leaver did leaver did leaver did leaver number did leaver extension leaving details unplanned comments next meeting room needed tickets automatically logged best regards note mailbox receive messages,1,4,2,51,32,3,4
restore permissions for hr folder,permissions hi permissions changed folder connected accessing folder least two years kind regards mobility officer,1,6,22,7,38,3,4
leaver form for leave date november location center,leaver form leave date november location center hello leaver form has filled by name leaving date november location center ad forwarder leaver mailbox did leaver roaming profile did leaver ad rights personal mailbox approver did leaver rights inventory storage required information name work location details floor seat did leaver did leaver token did leaver mobile phone subscription did leaver other commercial accounts leaver has detected changed automatic by approver backup pm purchase coordinator approver approver approver approver discipline responsible other did leaver did leaver did leaver did leaver did leaver number did leaver extension leaving details comments needed tickets automatically logged best regards note mailbox receive messages,1,4,2,51,32,3,4
leaver form for leave date november location center,leaver form leave date november location center hello leaver form has filled by name leaving date november location center ad forwarder leaver mailbox did leaver roaming profile did leaver ad rights personal mailbox approver did leaver rights inventory storage required information name work location details floor seat did leaver did leaver token did leaver mobile phone subscription did leaver other which ourselves commercial accounts leaver has detected changed automatic by approver backup pm purchase coordinator approver approver approver approver discipline responsible other did leaver did leaver did leaver did leaver did leaver number did leaver extension leaving details unplanned comments needed tickets automatically logged best regards note mailbox receive messages,1,4,15,51,32,3,4
accounts oracle test team test product,accounts test test product hi ask creation accounts created test environment assigned test product please let additional information provided thank much kind regards,1,4,2,7,68,3,4
re roles request,re roles hi log please thank thursday november pm roles hi roles mobile getting started quite roles order create code scanner role sufficient regards,1,4,2,7,63,3,4
leaver form for leave date november location tower,leaver form leave date november location tower hello leaver form has filled by name leaving date november location tower ad forwarder leaver mailbox did leaver roaming profile did leaver ad rights personal mailbox approver did leaver rights inventory storage required information name work location details floor row seat seat did leaver did leaver token did leaver mobile phone subscription did leaver other commercial accounts leaver has detected changed automatic by approver backup pm purchase coordinator approver approver approver approver discipline responsible other did leaver did leaver did leaver did leaver did leaver number did leaver extension leaving details unplanned comments needed tickets automatically logged best regards note mailbox receive messages,1,4,2,51,32,3,4
cornel wants to access start up,wants write upload mandatory trainings accept decline requests,1,4,1,7,46,3,4
locations for soc,locations dear please setup order let thanks,1,4,3,7,38,3,4
wants to access,wants complete training accept decline requests,1,5,1,7,46,3,4
installation of os required on,installation os required since old machine os client,1,5,15,7,32,3,4
new starter,friday november re hi guys thanks friday november re dear please back thank november hello please advise has name please advise initial father must create different addresses thank best regards analyst ext,1,4,1,7,56,3,4
notification oracle fusion planned downtime,planned downtime hi weekend planned upgrade take downtime approximately please out informing about event attached find form best regards engineer,1,4,3,60,67,3,4
new starter admin account,hi please fill enclosed starter forms colleagues thank administration officer,1,4,2,7,4,3,4
access needed for auditing and,needed hi please provide auditing thank kind regards accounts payable accountant phone,1,4,2,7,66,3,4
oracle access,hi please help granting folders items contracts contracts invoicing contracts costs thanks lot kind regards accounts receivable accountant id image,1,4,1,7,67,3,4
access points map,re points map thank please make upload map thank november re points map hi plan attached weekend tuesday november pm re points map looking forward hearing thank november re points map hi checking map available prepared over colleague loop she helping related topics best regards november pm points map hello bit late ask map question has had addressed pm move he shared infrastructure plans handled by pm expect he provided details related please find out proper person help getting map much appreciate help thank october re points map has please log accordingly officer october re points map hello these maps were provided by understand exactly position socket please refer plan link location provided assisted supported needed install these implication plans had by thank october re points map hi understanding accommodate mean agreement has changed thanks officer october points map hello understood layout map points position celling floor during phase please make plan exists share upload store share link forms disciplines extension plans bb view dab best regards lead ext,1,4,3,7,46,3,4
wireless access,re updated wireless hello wireless available also resolution out,1,4,1,7,65,3,4
oracle managers,hello please update consumed by eel additional information please hesitate kind regards engineer,1,4,2,21,66,3,4
access to,hi please help providing thanks,1,4,1,7,65,3,4
your password expire today,re expire today please meant sorry thursday november pm expire today hi guys please thanks thursday november pm re expire today well please assist director water street floor ny dial ext fax thursday november pm expire today importance high hi expired other tried resetting instructed work think users tied how haven past few days thanks november expire today importance high dear expire today change pc press ctrl alt delete choose change thanks ext information transmitted content communication confidential intended intended recipient affiliates subsidiaries intended recipient hereby notified information contained transmitted communication dissemination copying communication strictly prohibited received communication error please notify immediately by replying delete,1,4,2,76,4,3,4
create a project and for oracle,create hi helped reports creation please log best regards engineer,1,4,3,7,19,3,4
remove license for visual studio pro,license visual studio pro hi please license visual studio professional thank engineer,1,4,3,87,32,3,4
notification work ooh announcement to send,work ooh announcement hello dear please tomorrow morning announcement inform saturday november scheduled work environment migration during frame short periods client unavailable traffic via client mobile client available call saturday he stable back questions please thank kind regards infrastructure ext phone,1,4,3,60,87,3,4
access to confluence,agile resources confluence hello agile resources confluence please provide theme consultant,1,4,1,7,27,3,4
wants to share kiosk demonstration video with everyone,wants share kiosk demonstration video everyone want share kiosk demonstration video everyone accept decline requests,1,4,1,7,46,3,4
license server,license hi please take action licenses again fully booked thank senior application engineer mobile,1,4,3,88,32,3,4
notification work at tomorrow evening,work tomorrow evening hi please advised attached works done tomorrow evening site help out pm regards mo senior infrastructure consultant upcoming holiday st july rd october october,1,6,22,60,41,3,4
remove vs pro license,vs pro hi received regarding vs pro license had previously computer version vs automation testing training received has vs installed currently vs license vs pro thank software tester,1,4,3,86,32,3,4
remote access,remote hello please link remote reasons few urgent things thanks commercial adviser old broad street,1,4,3,88,10,3,4
wants to access requesting it hardware equipment,wants requesting hardware equipment order make purchase accept decline requests,1,4,1,7,46,3,4
browser bookmarks,browser bookmarks hi guys please push default bookmarks users explorer regards folder called other supported browsers chrome also updated instance decommissioned help out thank,1,5,15,7,32,3,4
request,hello issue help colleagues working thus sufficient give sap related issue had accessing these after connecting mobile id believe separate guys which give resources without connecting mobile especially since mobile id has revoked removed well help possible fix problem starting big impact work let more details regards,1,6,22,7,52,3,4
access for admin management travel,hello please write folder thank leader ext st,1,4,1,7,38,3,4
please open access to port on,hi more which related please port azure slave nodes slave slave slave resolution important thanks best regards wednesday november pm port slaves hi teams please log assign please port author azure slave nodes slave slave slave mention port accessible slave node slave root author azure connected author azure escape character closed required thanks best regards engineer,1,6,22,21,95,3,4
please exceed limit,please exceed limit hi reaching limit deleted deleted items folder please extend thanks head,1,4,2,7,36,3,4
equipment required,equipment required dear members travelling client premises weeks sprint none unfortunately has which problem duties follows please provide acting engineer prepare which colleagues during stay prepared by guys take prepare travelling thanks,1,5,13,7,32,3,4
access,hi guys please create he safely store code he has working appreciate speedy help rather urgent involves client thanks kind regards leader,1,4,1,7,19,3,4
new purchase po,purchase po dear purchased apple pro retina intel plus graphics please log allocation after receive item please take consideration mandatory receipts section order receive item ordered how video link kind regards administrator,1,5,13,7,32,3,4
leaver form for leave date november location,leaver form leave date november location hello leaver form has filled by name leaving date november location ad forwarder leaver mailbox did leaver roaming profile did leaver ad rights personal mailbox approver did leaver rights inventory storage required information name work location details floor rd seat did leaver did leaver token did leaver mobile phone subscription did leaver other commercial accounts leaver has detected changed automatic by approver backup pm purchase coordinator approver approver approver approver discipline responsible other did leaver did leaver did leaver did leaver did leaver number did leaver extension leaving details unplanned comments needed tickets automatically logged best regards note mailbox receive messages,1,4,2,51,32,3,4
leaver november center,leaver form leave date november location center hello leaver form has filled by name leaving date november location center ad forwarder leaver mailbox did leaver roaming profile did leaver ad rights personal mailbox approver did leaver rights inventory storage required information name work location details floor seat did leaver did leaver token did leaver mobile phone subscription did leaver other resources commercial accounts leaver has detected changed automatic by approver backup pm purchase coordinator approver approver approver approver discipline responsible other did leaver did leaver did leaver did leaver did leaver number did leaver extension leaving details comments needed tickets automatically logged best regards note mailbox receive messages,1,4,2,87,32,3,4
leaver november centre,leaver form leave date november location centre hello leaver form has filled by name leaving date november location centre ad forwarder leaver mailbox did leaver roaming profile did leaver ad rights personal mailbox approver did leaver rights inventory storage required information name work location details floor seat did leaver did leaver token did leaver mobile phone subscription did leaver other commercial accounts leaver has detected changed automatic by approver backup pm purchase coordinator approver approver approver approver discipline responsible other did leaver did leaver did leaver did leaver did leaver number did leaver extension leaving details unplanned comments needed tickets automatically logged best regards note mailbox receive messages,1,4,2,51,32,3,4
service now new assignment problem manager,assignment problem hello please create assignment named problem members thanks,1,4,3,7,56,3,4
and change,change hello assistance change contracts effective date starting july st avoid going process once again contract type contract sow sow july sow sow senior developer sow sow sow sow lead architect sow sow senior developer sow sow developer developer sow sow december sow sow designs sow sow developer sow sow br pet codes more than pet variation sow va pl sow sow front developer sow sow br pet errors variation sow va application variation sow developer variation sow va app variation sow automation variation sow variation sow lead architect variation sow redesign variation sow br country variation sow pet excess effort variation sow windscreen cover variation sow br change excess variation sow pet excess updated variation sow automation robotics variation sow accumulations acquisition tv screen stander variation sow va pm flight variation sow br removal debit cards variation sow br gift card campaign variation sow resources variation sow resources variation sow developer extension thanks officer planned annual leave december,1,4,3,7,10,3,4
reset for account not working,working hello want testing accelerator code log platform error details please administrator change please cannot help order thank,1,4,1,7,4,3,4
reception new delivery,hello received items pro po intend po po po please advise please log thank engineer,1,5,13,7,32,3,4
access to com on port from,port hi please assign please allow ports machine slave caps pilot these ports opened order fetch instead passwords git caps pilot git thank engineer,1,4,3,7,95,3,4
leaver november center,leaver form leave date november location center hello leaver form has filled by name leaving date november location center ad forwarder leaver mailbox did leaver roaming profile did leaver ad rights personal mailbox approver did leaver rights inventory storage required information name work location details floor seat did leaver did leaver token did leaver mobile phone subscription did leaver other commercial accounts leaver has detected changed automatic by approver backup pm purchase coordinator approver approver approver approver discipline responsible other did leaver did leaver did leaver did leaver did leaver number did leaver extension leaving details unplanned comments too bad she leaving needed tickets automatically logged best regards note mailbox receive messages,1,4,2,51,32,3,4
success story,success story hi please add success story staging tomorrow text attached both images going probably tomorrow please other success stories thank cheers,1,4,3,7,99,3,4
visual studio license,requested hello two developers has received subscription order visual studio licenses please activity process upgrading form part cheers great,1,5,15,7,32,3,4
access to,hi ask position work planner part discipline easier thank best planner,1,4,1,7,10,3,4
laptop retrieval,hi today bring leave thanks anticipation developer,1,5,13,88,32,3,4
,hi please add agent please also agents barker barker thanks,1,4,2,21,71,3,4
migrate repositories from to,migrate repositories hello repositories migrated please assign he helping issue thank senior developer,1,4,3,105,20,3,4
