source,english_sentence,hindi_sentence
tides,Email and the internet ensure that this debate involves research groups across the world .,ई-मेल तथा इंटरनेट सुनिश्चित करते हैं कि इस विचार-विमर्श में विश्व के अन्य शोध-समूह भी शामिल हों .
ted,that Nigerian men were physical abusers,नाइजीरियाई पुरुष स्त्रियों का उसी प्रकार शारीरिक शोषण करते हैं
tides,Tooth is extracted whole or surgically sectioned . The site is sutured closed .,या तो पूरे दाँत को एक ही साथ या तो उसे हिस्सों में निकाल कर उस जगह को सिलकर बंद कर दिया जाता है .
tides,He directly approached the Principal of Scottish Church College Dr . Urquhart and told him that he wanted to go in for the honours course in philosophy .,उन्होंने सीधे स्काटिश चर्च कालेज के प्रिंसिपल डा . अर्कहाट से भेंट की और उन्हें बताया कि वे दर्शनशास्त्र में आनर्स करना चाहते हैं .
ted,"There are fundamental, major breakthroughs,","बुनियादी, बडी सफ़लताएं,"
tides,"They may occasionally have the full capitals of the order or , as in the case of the cave-temples of the Deccan , they may be of the kumbha-valli type or have the so-called cushion capitals mentioned earlier .","यदाकदा उनमें वास्तुशिल्पीय नियमानुसा संपूर्ण शीर्ष होते हैं या , जैसा कि दक्षिण के गुफा मंदिरों के मामले में देखा जाता है , वे कुंभ वल्ली प्रकार या पूर्व कथित तोषकाकार शीर्ष हो सकते हैं ."
indic2012,Bold lady realize at the time of battle that she is not to be kill but trying to make her slave.so she has suicide on spot.,युद्ध के दौरान वीरांगना ने अनुभव किया कि उसे मारने की नहीं वरन बंदी बनाने का प्रयास किया जा रहा है तो उसने वहीं आत्महत्या कर ली।
ted,and knocks it down.,और उसे हिला दिया।
ted,"and this is my drawing pen,","और ये मेरा पेन है,"
tides,"If living things do not disappear from the scene and continue to propagate , then the earth would be filled with such animate species and their very survival , irrespective of their age , would be threatened .",यदि जीवों का अंत न होता और उनकी लगातार बढऋती रहती तो पृथ्वी पर उनकी संख्या इतनी अधिक हो जाती कि उनका जीवित रहना ही संकट में पडऋ जाता .
tides,Sheep milk is yellow in colour and the fat globules are large .,भेड़ का दूध पीले रंग का होता है और वसा की गोलिकाएं बड़ी होती हैं .
tides,"Find out if there is a guarantee , what it covers , what is excluded and how long it is for .","पता कीजिए कि क्या कोई गारंटी है या नहीं , वह किन बातों पर लागू होती है , कौन सी बातें वंचित हैं और उसकी अवधि क्या है ."
tides,"This was consistent with the fact that the ayaka extensions served as altars for placing flowers , lamps and offerings by the devotees .","यह शायद इसलिए भी था कि संभवतया आयक चबूतरा वेदी के रूप में काम आता था , जिस पर भक़्त लोग फल , फूल और धूप आदि चढ़ाया करते थे ."
ted,I relied on some other group,"मैंने दुसरे समूह पे भरोसा किया,"
ted,"from being proud in the way they're proud there,","उन बातों पर गर्व करने से रोक सकेंगे जिन पर वो अभी करता है,"
ted,(Applause),(तालियाँ)
indic2012,Netaji also became the chief commander of Aazad Hinda Sena.,नेताजी आज़ाद हिन्द फौज के प्रधान सेनापति भी बन गए।
tides,Your local social services department will tell you about other local organisations .,आप की लोकल कौंसिल की सेवाएं वाला विभाग आप को आप के स्थानीय समूहों के बारे में बतायेगा .
ted,and counter to serious learning.,और गंभीर-शिक्षा का दुश्मन भी।
indic2012,Rana prime minister chandra samser has added his name and the king tribhuvan's name as the campus name,राणा प्रधानमन्त्री चन्द्र सम्सेर ने अपने साथ राजा त्रिभुवनका नाम जोडके इस कैंपसका नाम रखाथा ।
ted,"you've got to give them a specific task. Don't just say, “Design new software.”",उन्हे आपको एक निश्चित और तय काम ही देना होगा। आप ऐसा नही कह सकते कि “एक नया सौफ़्ट्वेयर बनाओ”
ted,"Once it becomes a closed system, with U.S. participation,",अमेरिकी भागीदारी से जब यह एक बंद व्यवस्था हो जाती है
indic2012,Hindi Poet,हिन्दी कवि
tides,"If in March , he deposits another Rs 10,000 , the full amount goes into a new FD .","यदि मार्च में वह 10,000 रु.और जमा कराता है तो पूरी राशि नए एफड़ी खाते में बदल जाती है ."
ted,"In the Catholic chronology, Catholic calendar,","केथोलिक केलेन्डर मे,"
ted,We talked about the TV show we watched that evening.,हमने एक टीवी कार्यक्रम के बारे में बात की जो हमने उस शाम को देखा था.
tides,"He diagnosed kidney infection and insisted on performing then and there a drastic surgical operation , if the unconscious patient 's life was to be saved .",उसने यह बताया कि मरीज की किडनी खराब है और यह भी कि अचेत पड़े मरीज की जान बचानी है तो तत्काल एक बड़ा ऑपरेशन करने की जरूरत है .
indic2012,Study of Kurran(Denial Pipes),कुरान का अध्ययन (डेनियल पाइप्स)
ted,"when you call your friends and say, “I think I need to see somebody.","जब आप अपने दोस्तों से बात करते है और कहते हैं, “मुझे लगता है मुझे इलाज की ज़रूरत है”"
ted,the value to the city in increased property values,शहर को प्रोपर्टी के दाम बढ़ने से
indic2012,"Agra, Aligarh, Ayodhya, Bareilly, Meerut, Varanasi [Banaras], Gorakhpur, Ghaziabad, Moradabad, Saharanpur, Faizabad, Kanpur are other important cities.",प्रदेश के अन्य महत्त्वपूर्ण शहर हैं आगरा अलीगढ अयोध्या बरेली मेरठ वाराणसी( बनारस) गोरखपुर गाज़ियाबाद मुरादाबाद सहारनपुर फ़ैज़ाबाद कानपुर।
indic2012,"1.Because of this plea, the citizens get to know about theirrights and duties. This expands the knowledge of a personand allow them to utilize various rights.",1. इस याचिका से जनता मे स्वयं के अधिकारों तथा न्यायपालिका की भूमिका के बारे मे चेतना बढती है यह मौलिक अधिकारों के क्षेत्र को वृहद बनाती है इसमे व्यक्ति को कई नये अधिकार मिल जाते है
tides,"The prevailing colours are chestnut , brown and grey .","ये घोड़े आमतौर पर भूरे , लाल और धूसर रंग के होते हैं ."
ted,"I left Bellevue, went to business school and started this.","मैने बलुवे छोडा, बिज़नस स्कूल गया, और ये शुरु किया।"
indic2012,"For 'Kala Patthar', he got the best actor award in 1979, in 1980 he was nominated again for Rajkhosla directed 'Doostana' in 1980, in which he acted with Shatrughan Sinha and Zeenat Aman.",१९७९ में इन्हें काला पत्थर (१९७९) में सर्वश्रेष्ठ अभिनेता का पुरस्कार दिया गया और इसके बाद १९८० में राजखोसला द्वारा निर्देशित फिल्म दोस्ताना में दोबारा नामित किया गया जिसमें इनके सह कलाकार शत्रुघन सिन्हां और जीनत अमान थीं।
indic2012,The waters of Ganga are deemed sacred and is essential for all rituals.,गंगाजल को पवित्र समझा जाता है तथा समस्त संस्कारों में उसका होना आवश्यक है।
indic2012,2. Bramha or the universal spirit is all pervading.,2. ब्रह्म या परम तत्त्व सर्वव्यापी है
indic2012,"He spread the cult of Krishna giving prominence to the ideals of Nimbark, Madhwa and Vishnuswamy",उन्होंने निम्बार्क मध्व और विष्णुस्वामी के आदर्शों को सामने रखकर श्रीकृष्ण का प्रचार किया।
tides,Some youngsters who sniff have accidents while they are intoxicated and some further damage to their health .,"सुँघनी लेने वाले कुछ युवाओं को नशा चढ़ जाता है , तो दुर्घटनाएँ हो जाती हैं और कुछ के स्वास्थ्य को हानि होती है ."
tides,"The third exception to the general rule of equality of opportunity in public employment is contained in clause 5 of article 16 which provides that a law may prescribe that the incumbent of an office in connection with the affairs of a religious or denominational institution , or a member of the governing body thereof shall belong to the particular religion or denomination .",लोक नियोजन में अवसर की समानता के सामान्य नियम का चौथा अपवाद अनुच्छेद 16 के खंड ( 5 ) में दिया गया है जिसमें उपबंध किया गया है कि विधि विहित कर सकती है कि किसी धार्मिक या सांप्रदायिक संस्था के कार्य से संबंधित कोई पदधारी या उसके शासी निकाय का कोई सदस्य किसी विशिष्ट धर्म का मानने वाला या विशिष्ट संप्रदाय का ही हो .
ted,"where people make one, two, three dollars a day",जहाँ लोगों की दैनिक कमाई एक से तीन डॉलरों के बीच है
indic2012,Deemoz,डीमोज
ted,"I actually had a chance to interview Ira Glass, who's the host of the show.","मैंने वास्तव में ईरा ग्लास, जो शो के मेजबान है, उनका साक्षात्कार किया ."
indic2012,"The total area of the state is 3.42 lakh sq. kms. which is 10.4 per cent of total area of India, the country.",राज्य का क्षेत्रफल ३.४२ लाख वर्ग कि.मी. है जो भारत के क्षेत्रफल का १०.४० प्रतिशत है।
tides,"The marvel of the whole series of events is the co4ordinated action of different muscles , varying widely in size , position , power , etc .",इस सारे श्रृंखलाबद्ध घटनाक्रम का चमत्कार भिन्न पेशियों की समन्वित क्रिया में निहित है जो व्यापक रूप से अमाप स्थिति और शक़्ति आदि में परिवर्तित होते हैं .
ted,AG: Thank you. Thank you very much.,एजी: धन्यवाद। बहुत धन्यवाद। (तालियां)
tides,Interior decoration -LRB- painting and wallpapering -RRB- does not qualify for compensation .,अंदरुनी साज-सज्जा ( रंग और वाल पेपर लगवाना ) मुआवज़ा प्राप्त करने योग्य सुदार नहीं हैं
ted,and I think that means sinking in,और मैं सोचता हूँ कि इसके लिए
indic2012,Because till then science has not so much developed in this field.,क्यों कि तब तक विज्ञान ने इस क्षैत्र ‎में इतनी प्रगति नहीं की थी।
tides,"The Committee resolves therefore to sanction , for the vindication of India 's inalienable right to freedom and independence , the starting of a mass struggle on non-violent lines under the inevitable leadership of Gandhiji . '","इसलिए कमेटी हिंदुस्तान की आजादी और स्वराज के मौलिक अधिकार की रक्षा के लिए अहिंसात्मक तरीके से जनता द्वारा आंदोलन शुरू करने की इजाजत देती है , जो गांधी जी के नेतृत्व में होगा ."
indic2012,"Other than BMC, Thane, Kalyan-Dombivili, New Mumbai, Mira Bhayander, Bhivandi-Nijamapur and Ulasnagar have Greater City Corporations City Corporations",बी एम सी के अलावा यहां ठाणे कल्याण-डोंभीवली नवी मुंबई मीरा भयंदर भिवंडी-निज़ामपुर एवं उल्हासनगर की नगरमहापालिकाएं व नगरपालिकाएं हैं।
tides,"But the European textile interests vigorously opposed the import of indigo because it sought to displace wood , which was their source for the blue dyes .",लेकिन यूरोपीय सूती कपडऋआ उद्योग ने भारतीय नील के आयात का डट कर विरोध किया कऋ-ऊण्श्छ्ष्-योंकि नीले रंग की रऋगाऋ के लिए उनके यहां एक विशेष पऋधा होता था और भारतीय नील उसके लिए एक खतरा था .
indic2012,"After 1960, it is agreed that between 750 and 580 lakh years, during the mega glacial process called Neoproterozoic, most of the earth's surface got covered in as sheet of ice. This theory is called Snowball Earth. This is of special interest because, when the model of multicellular life on earth came into vogue, this was before the Cambrian explosiion.",१९६० के बाद से यह मन गया की ७५० और ५८० लाख साल के बीच में गंभीर ग्लासिअल क्रिया नियोप्रोतेरोजोइक (Neoproterozoic) के दौरान अधिकांश सतह को एक बर्फ की चादर में ढक लिया इस परिकल्पना को पृथ्वी हिमगोला (Snowball Earth) कहा गया और यह विशेष रुचि का है क्योंकि जब बहु कोशिकीय जीवन प्रारूप प्रसारित हुआ तब यह कैम्ब्रियन विस्फोट (Cambrian explosion) से पहले हुआ .
tides,One consequence of this kind of segregation was that there was usually little mental companionship between husband and wife .,इस तरह के अलगाव का एक परिणाम यह था कि साधारणतया पति और पत्नी के बीच सहचारिता नहीं थी .
tides,"People who drop by just to say hello , and women who brave the bulging rickshaws and the lustful looks of the men on the street just to take a peek at his latest wares .","कुछ लग तो सिर्फ उन्हें हल कहने आते हैं.भत-सी महिलएं होती हैं , जो सिर्फ नवीनतम ड़िजाइन देखने के लिए गलियों में पुरुषों की कामुक नजरों और रिक्शों की भीड़े के बावजूद वहां आने का साहस दिखाती हैं ."
tides,It yields 3.4 tonnes of sugar per acre as against only 1.75 tonnes from sugarcane .,यह गन्ने की 1.75 टन चीनी प्रति एकड़ की फसल की अपेक्षा 3.4 टन चीनी प्रति एकड़ देता है .
tides,Shoeing of Horses,घोड़े पर नाल चढ़ाना
indic2012,This element was developed along with the drafting of constitution,ये वे तत्व है जो संविधान के विकास के साथ ही विकसित हुए है।
ted,and that's the grandmother of one of them.,और यह उनमें से एक की नानी हैं.
indic2012,"in the year 2000,india made uttaranchal with its north-east parts(especially,mountains)",सन २००० में भारतीय संसद ने उत्तर-प्रदेश के उत्तर पश्चिमी (मुख्यतः पहाड़ी) भाग से उत्तरांचल राज्य का निर्माण किया।
tides,We ha ” ve already quoted words spoken by Saunaka .,हम शऋनक के शबऋ-ऊण्श्छ्ष्-द पहले ही उद्धृत कर चुके हैं .
indic2012,"England team players first time visited North America in 1859 and, In 1862, that team visited to Australia first time. In 1876-77 one of the England teams played first test match against Australia.",१८५९ में इंग्लैंड की टीम के खिलाड़ी पहली बार उत्तरी अमेरिका के विदेशी दौरे पर गए थे और १८६२ में इंग्लिश टीम ने पहली बार ऑस्ट्रेलिया का दौरा किया. 1876-77 में एक इंग्लैंड की टीम ने पहली बार ऑस्ट्रेलिया के विरुद्ध मेलबोर्न क्रिकेट मैदान में टेस्ट मैच (Test match) में भाग लिया.
ted,If a risk is thrust upon you - terrorism was a good example -,अगर आप पर कोई खतरा थोपा जाता हैं जैसे कि आतंकवाद एक अच्छा उदहारण हैं
ted,"He said, “Well, easy, this is District Eight.","वो कहता है,' बहुत आसान है, ये आठवाँ ज़िला है."
tides,The share of consumer electronics was to decline from 31 per cent in 1984-85 to 20 per cent in 1989-90 .,उपभोकऋ-ऊण्श्छ्ष्-ता इलैकऋ-ऊण्श्छ्ष्-ट्रोनिकऋ-ऊण्श्छ्ष्-स का शेयर सन् 1984-85 के 31 प्रतिशत से सन् 1989-90 में 20 प्रतिशत हो गया .
indic2012,New paths,नई राहें
tides,The climate of menace and aggression in Europe and in Far East and the misuse of the aeroplane as an engine of destruction has biased him against this invention of man .,संकट और आक्रमण का जो वातावरण सुदूर पूर्व और यूरोप में मंडरा रहा था उसके बेजा इस्तेमाल के चलते हवाई जहाज की तबाही का यंत्र बनाकर कवि ने मनुष्य के इस आविष्कार का विरोधी बना दिया था .
ted,"in one of the largest countries on the continent, Nigeria.",नाइजीरिया में यह करने की शुरुआत कर दी है।
tides,"Moreover , he could use pressure , influence and strictness to accomplish his duties .","मुहतसिब अपने कर्तव्यों की पूर्ति के लिए दबाव , और सख्ती बरत सकता"
ted,at Dorset Orthopaedic in England,इंगलैंड के डोरसेट और्थोपेडिक से
indic2012,This temple is dedicated to Lord Shiva and attracts thousands of national and foreign pilgrims every year.,भगवान शिव को समर्पित यह मंदिर प्रतिवर्ष हजारों देशी-विदेशी श्रद्धालुओं को अपनी ओर खींचता है।
tides,It was the first full flush of our common enthusiasm and love for him and it coloured all our existence with its own bright hues .,उनके प्रति हमारे मन में जो स्नेह और सम्मान था- और जो सम्मिलित उत्साह था- वह पहली बार इस तीव्रता में फूट पड़ा था कि उसने अपनी समुज्जवल आभा से हमारी समस्त सत्ता को रंग डाला था .
tides,What sort of tenancy is it ?,यह कौन से प्रकार की किरायेदारी है ?
tides,Also you might look silly using slng terms no longer in fashion .,यही नही जो नाम प्रचलित नहीं रहे उनका प्रयोग करने पर आप मूर्ख दिखाई पड़ेंगे .
tides,There is no religion in this . ”,इसमें कोई धर्म नहीं है . ' '
ted,"that deliver affordable health, housing, energy, clean water","जो कि वहन करने योग्य स्वास्थ सेवा, घर, बिजली, या साफ़ पानी मुहैया करवाता है"
tides,"Side by side with the friendship with the poet , I have had the supreme happiness of a second personal friendship with Mahatma Gandhi .","कवि की मित्रता के साथ ही , मुझे इस बात की अत्यधिक प्रसन्नता है कि मुझे महात्मा गांधी के साथ ऐसी ही दूसरी व्यक्तिगत मित्रता प्राप्त हुई ."
tides,"The majority of them swim with the help of their hind legs , which have become specialized to function as oars .",इनमें से अधिकांश कीट पतवार का कार्य करने के लिए विशिष्ट बन गई पिछली टांगों की सहायता से तैरते हैं .
ted,as do lots of average people.,जेसे बहोत सारे आम आदमी यो कोभी आता है .
tides,The Tariff Board was rather hesitant in admitting that the various concessions and advantages enjoyed by the Japanese industry had made a significant difference in its competitiveness .,टैरिफ बोर्ड को इस बात के मानने में संकोच था कि जापानी उद्योगों को उपलब्ध विभिन्न प्रकार की रियायतों और लाभ के कारण उनकी प्रतियोगितात्मक स्थिति में कोई महत्वपूर्ण परिवर्तन आया
indic2012,Category: Pakistan,श्रेणी:पाकिस्तान
tides,The heart also shows a gradual reduction in performance with increase in age .,आयु बढ़ने के साथ हृदय की क्षमता में भी धीरे-धीरे कमी आती जाती है .
indic2012,both spandrels of an arch,मेहराब के दोनों ओर के स्पैन्ड्रल
tides,Even the enormous populist potential of disinvestment has n't been exploited by a party committed to dismantling socialism .,यहां तक कि समाजवाद को ध्वस्त करने के प्रति वचनबद्ध पार्टी ने विनिवेश के बेहद लकप्रिय होने की संभावना का भी फायदा नहीं उ आया है .
ted,electricity do that work.,बिजली को वहीँ काम करते हुए |
tides,Horses should be supplied with plenty of fresh water at regular hours .,घोड़ों को नियमित समय पर पर्याप्त मात्रा में ताजा जल दिया जाना चाहिए .
ted,"Masiosare, the strange enemy, is here.",मसिओसरे (Masiosare) हमारा दुश्मन यहाँ है |
ted,a supermarket or a pushcart.,या सुपरमार्केट हो या फिर हाथगाढ़ी.
ted,"by what they have seen, and hopefully, therefore,",और आशा करते हैं वे मानव शास्त्र पर डाले गए प्रकाश
indic2012,"The Fort is like half moon, which somewhat flat in the eastern, the nearest wall going straight towards the river.",यह किला अर्ध-चंद्राकार है जो पूर्व में कुछ चपटा है पास की सीधी दीवार नदी की ओर वाली है।
indic2012,North Dakota,नार्थ डेकोटा
ted,His name was Fide.,उसका नाम फ़ीडे था.
indic2012,"But currently these rivers are apart from Ganga river, and become rainy season rivers.",किन्तु ये वर्तमान समय में गंगा से पृथक होकर वर्षाकालीन नदियाँ बन गई हैं।
indic2012,Boulders were brought here with the help of special bullock carts using 20 to 30 bulls.,बीस से तीस बैलों को खास निर्मित गाडि़यों में जोतकर शिलाखण्डों को यहाँ लाया गया था।
tides,"To complete the health resort feeling , there 's a touch of Amsterdam to internal transport .",परिसर में एमस्टरड़म की तरह आंतरिक परिवहन की व्यवस्था है .
ted,I love it that we have a global language.,मुझे ये बात बहुत अच्छी लगती है हमारे पास एक वैश्विक भाषा है।
tides,By its every nature history is interpretative and subjective .,लेकिन इतिहास तो अपनी स्वाभाविक प्रकृति से व्यायाओं और वैचारिक रुज्हनों से प्रभावित होता रहता है .
tides,"From early times , the decisions of Panchayats were accepted as binding .","आरंभिक काल से ही , पंचायतों के निर्णयों को बाध्यकारी मानकर स्वीकार किया जाता रहा है ."
ted,but we did have a lot of fun.,मगर हमने सांथ में काफी मजे किये |
tides,"Constipation is a common problem , specially during long illness .","विशेषकर यदि आप बीमार रह चुके हैं , तो कब्ज एक समस्या हो सकता है ."
indic2012,"It is known to very few people,a restriction was brought by Swayambhu Press on him",बहुत कम लोग ऐसे हैं जो ये जानते हैं कि स्वयंभू प्रैस ने अमिताभ बच्चन पर प्रतिबंध लगा दिया था।
tides,"There was also the emotional element in it , the learning from crowds , . the appreciation of mass psychology .",मैंने जनता की भीड़ से कुछ न कुछ सीखा है और जनसमूह के मनोविज्ञान को भी परखने की कोशिश की हे .
indic2012,There are about 375 types of fishes .,इसमें लगभग ३७५ मत्स्य प्रजातियाँ उपलब्ध हैं।
indic2012,Montana,मोन्टाना
ted,"And the correlation, of course,","और परस्पर सम्बन्ध वाकई यह है,"
tides,Reality : There is a Goebbelian attempt to paint this as the truth but it wo n't stick .,हकीकतः दुष्प्रचार यह किया जा रहा हौ कि यह बात सही है पर ऐसा है नहीं .
indic2012,Krishinagar district,कुशीनगर जिला
indic2012,This is known as Muslims' catastrophe day,इसे मुसलमान प्रलय का दिन कहते हैं।
ted,"Four years earlier, when I was one,","चार साल पेहले, जब मैं एक साल की थी,"
indic2012,"There is little description of Brahma, Vishnu or Shiva at that time.",प्रजापति ब्रह्मा विष्णु और शिव का उस समय कम ही उल्लेख मिलता है।
tides,The Tata Iron and Steel Company continued to be the only manufacturer of steel for the best part of the 1914-39 period .,लौह एवं इस्पात दी टाटा आयरन एंड स्टील कंपनी सन् 1914-39 की अवधि में काफी समय तक अकेली ही इस्पात निर्माण करती
tides,Akkamahadevi came to Kalyana and met people in Basava 's house .,अक़्कमहादेवी कल्याण पहुंची तथा बसव के घर में लोगों से मिली .
tides,Maulana Syed Ahmad and Maulvi Mohammad fell on the battlefield and the ' Islamic State ' came to an end .,मौलाना सैय्यद अहमद और मौलवी मुहम्म्द युद्ध भूमि में गिर गये और इस्लाम राज़्य का अंत हो गया .
indic2012,Category : Space Travel,श्रेणी:अंतरिक्ष यात्री
tides,"Some of diem are , ironically , die protagonists of the very system which has diwarted their lives and warped their minds ; some are nagging and cantankerous and drive husbands to despair ; some prefer their jewellery to their husbands ' love .","इनमें से कुछेक , व्यंग्यमुखर हैं और उस व्यवस्था के विरुद्ध कमर कसरकर खड़ी हैं जिसने कि उनका जीवन दूभर और उनके मस्तिष्क को विकृत कर दिया है.कुछ ऐसी भी हैं- जो सिरचढ़ी और झगड़ालू हैं और अपने पतियों को हताशा में झोंक देती हैं और कुछ ऐसी भी हैं जो पति के प्यार की अपेक्षा अपने आभूषणों को ज्यादा महत्व देती हैं ."
indic2012,She was the Principal as well as the “”Dean of Faculties“”,इसकी वे प्रधानाचार्य एवं कुलपति भी रहीं।
indic2012,His early life ws struggle as his mother died when he was seven years and his father died when he ws fouteen years of age.,सात वर्ष की अवस्था में उनकी माता तथा चौदह वर्ष की अवस्था में पिता का देहान्त हो जाने के कारण उनका प्रारंभिक जीवन संघर्षमय रहा।
tides,"The small vessels of the eye may get replaced by fragile leashes of tiny new vessels -LRB- proliferative retinopathy -RRB- , and later result in vitreous haemorrhage and retinal detachment -LRB- due to fibrous bands -RRB- .",इन नयी रक़्तवाहिनियों के बनने की प्रक्रिया में कुछ रेशेयुक़्त धागे जैसे बैंड बन जाते हैं जो रेटिना पर खिंचाव डालकर अंतत : विट्रिअस रक़्तस्राव अथवा रेटिनल डिटेचमेंट ( रेटिना का आंख से अलग होना ) का कारण बन जाते हैं .
ted,problems that occur on the mountain,समस्याएं जो पहाड़ों पर होती हैं
ted,in which investors who are looking for entrepreneurs,जिसमे निवेशक वो उद्यमी देख सके
tides,"He takes water in his hand , and sprinkles it into all four directions , he pronounces with his tongue the name of the deity for whom he fasts , and remains in this condition till the day after the fast-day .","वह हाथ में पानी लेकर उसे चारों दिशाओं में छिड़कता है , अपने मुख से उस देवता का नामोच्चार करता है जिसके लिए उसने व्रत रखा है और उसी स्थिति में व्रत के दिन से तीसरे दिन तक रहता है ."
ted,"but the reality is that, by and large,","मगर सच्चाई यह है कि अधिकतर,"
indic2012,"all his books were translated to English and Urdu, and other languages like Chinese, Russian, etc and his stories were published in other foreign languages.",उनकी सभी पुस्तकों के अंग्रेज़ी व उर्दू रूपांतर तो हुए ही हैं चीनी रूसी आदि अनेक विदेशी भाषाओं में उनकी कहानियाँ लोकप्रिय हुई हैं।
tides,Additional noise controls,शोर पर और नियंत्रण .
tides,"It was the occasion of a debate on far-reaching and , in some respects , altogether novel propositions of International Law , a subject of lasting interest to lawyers and those interested in law .",वह अंतर्राष्ट्रीय कानून के पूर्णत : नवीन और कुछ मायनों में दूरगामी प्रस्तावों पर बहस का अवसर था और वकीलों और कानून में दिलचस्पी रखने वाले अन्य लोगों के लिए चिरस्थायी अभिरूचि का विषय था .
ted,almost six million gallons of water per season.,साठ लाख गैलन पानी आपको दे रहा है।
tides,"” These matters in your affidavit , so far from extenuating your offence , appear to the court to be an aggravation of it .",” तुम्हारे हलफनामे की यह बातें तुम्हारे अपराध को कम करने के बजाय इस अदालत की नजर में उसे बढ़ाती ही हैं .
tides,"Towards , the end of this period gaslight , the railways and telegraph were introduced into the country .","इस काल के अंत तक गैस लाइट , रेलवे और टेलीग्राफ देश में प्रारंभ किए गए ."
indic2012,The National language of Nepal is Nepali and the people are also called Nepalis.,नेपाल की राजभाषा नेपाली है और नेपाल के लोगों को भी नेपाली कहा जाता है।
indic2012,Sant Ravidas Nagar District,संत रविदास नगर जिला
indic2012,"Domestic Solar system can run 2 to 4 bulb(or tubelight),also it can run a small dc fan and a small TV for two to 3 hours.",घरेलू सौर प्रणाली के अन्तर्गत २ से ४ बल्ब (या ट्यूब लाइट) जलाए जा सकते हैं साथ ही इससे छोटा डीसी पंखा और एक छोटा टेलीविजन २ से ३ घंटे तक चलाए जा सकते हैं।
tides,"In addition , a milch cow should be given one kilogram of concentrate mixture for every two and a half kilograms of milk produced .",इसके अतिरिक़्त प्रत्येक दुधारू गाय को हर ढाई किलोग्राम दूध के पीछे एक किलोग्राम सान्द्रित मिश्रण दिया जाना चाहिए .
tides,"The operating costs of hydro-schemes are , however , low in comparison with those of the other sources of power and , as optimum utilisation is reached , the cost per unit declines .",जल योजनाओं के संचालन खर्च बिजली के अन्य संसाधनों की तुलना में कम थे और जैसे जैसे अधिकतम उपभोग की स्थिति आती लागत भी प्रति इकाई दर से कम हो जाती .
ted,"When the headlines rolled, what happened was,","जब सुर्खियों में आती है,तो क्या होता है,"
tides,We need to ask ourselves why .,हमें खुद से सवाल पूछने की जरूरत है कि ऐसा क्यों है .
ted,because of the brilliance of the people -,"जिनके ज्ञान के फलस्वरूप ये आय हुई थी,"
ted,"And so she kept those things in her desk,","तो इसलिये वो ये सारी चीजें अपने डेस्क में रखती थीं,"
indic2012,"2) Upon Vyasas's directions, his disciple Vysampayana tells this epic for the second time to sages and saints on the occasion of Janamejaya's snakes-yagna.",२) दूसरी बार व्यास जी के कहने पर उनके शिष्य वैशम्पायन जी द्वारा पुनः इसी भारत महाकाव्य को जनमेजय के यज्ञ समारोह में ऋषि-मुनियों को सुनाना।
tides,"While Ayoob had been directed by his Pakistan-based HuM chief to meet him , the HuM was to supply weapons , explosives and money for the Al Qaida strikes in India .","पाकिस्तान स्थित एचयूएम के मुखिया ने अयूब को उससे मिलने को कहा था.एचयूएम को ही भारत में अल . कायदा के हमलं के लिए विस्फोटक , हथियार , पैसे मुहैया कराने थे ."
ted,I realized that everyone was carrying around wormholes in their pocket.,मुझे लगा कि सभी व्यक्ति अपनी जेबों में वर्महोल लिए घूम रहे थे.
indic2012,Pillow: the more pleasure and comfort even if the male can have his back cushion. Hand: the men pillow or other support to survive after the partner to give more pleasure can turn his back hand. Hips slap can put up or speed would come in handy during the hands on hips. The woman felt even less power and can quickly put attack .,तकियाः इसमें ज्यादा आनंद और आराम के लिये पुरुष चाहे तो अपने पीछे तकिया रख सकता है. हाथः इसमें पुरुष तकिया या फिर किसी अन्य सहारे के टिके होने के बाद पार्टनर को ज्यादा आनंद देने के लिये उसके पीछ हाथ फेर सकता है कूल्हों के उपर थपथपाते हुए चपत लगा सकता हैया फिर गति के दौरान हाथों से कूल्हों को सहारा दे सकता है. इससे महिला कम ताकत लगा कर भी और तेजी से धक्के लगा सकती है. .
indic2012,Chini Kam 2007,चीनी कम ( २००७ )
indic2012,Thereafter Bhagatsingh fired 3-4 rounds to ensure that Sanders was truly dead.,इसके बाद भगत सिंह ने ३-४ गोली दाग कर उसके मरने का पूरा इंतज़ाम कर दिया ।
